backend,backend_label,metric,value,units
porespy,PoreSpy snow2,Np,3454.0,count
porespy,PoreSpy snow2,Nt,5647.0,count
porespy,PoreSpy snow2,Mean coordination,3.269832078749276,-
porespy,PoreSpy snow2,Max coordination,29.0,-
porespy,PoreSpy snow2,Mean pore size (diameter_equivalent),22.21856029396374,um
porespy,PoreSpy snow2,Median pore size (diameter_equivalent),20.430468842073548,um
porespy,PoreSpy snow2,Mean throat size (diameter_equivalent),13.91675034778798,um
porespy,PoreSpy snow2,Median throat size (diameter_equivalent),12.175911854563521,um
porespy,PoreSpy snow2,Connected components,1.0,count
porespy,PoreSpy snow2,Giant component fraction,1.0,-
porespy,PoreSpy snow2,Dead-end pore fraction,0.29038795599305156,-
prego,PREGO,Np,2022.0,count
prego,PREGO,Nt,4147.0,count
prego,PREGO,Mean coordination,4.101879327398615,-
prego,PREGO,Max coordination,21.0,-
prego,PREGO,Mean pore size (diameter_equivalent),29.317231849209268,um
prego,PREGO,Median pore size (diameter_equivalent),27.798967538818534,um
prego,PREGO,Mean throat size (diameter_equivalent),15.08895327571668,um
prego,PREGO,Median throat size (diameter_equivalent),13.434347973244154,um
prego,PREGO,Connected components,1.0,count
prego,PREGO,Giant component fraction,1.0,-
prego,PREGO,Dead-end pore fraction,0.1162215628090999,-
native_maximal_ball,Native maximal-ball,Np,1975.0,count
native_maximal_ball,Native maximal-ball,Nt,3133.0,count
native_maximal_ball,Native maximal-ball,Mean coordination,3.1726582278481015,-
native_maximal_ball,Native maximal-ball,Max coordination,35.0,-
native_maximal_ball,Native maximal-ball,Mean pore size (diameter_inscribed),15.462774354844852,um
native_maximal_ball,Native maximal-ball,Median pore size (diameter_inscribed),14.166210105274205,um
native_maximal_ball,Native maximal-ball,Mean throat size (diameter_inscribed),8.530856059318985,um
native_maximal_ball,Native maximal-ball,Median throat size (diameter_inscribed),7.812306046485901,um
native_maximal_ball,Native maximal-ball,Connected components,1.0,count
native_maximal_ball,Native maximal-ball,Giant component fraction,1.0,-
native_maximal_ball,Native maximal-ball,Dead-end pore fraction,0.270379746835443,-
